"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Unique CTR (link click-through rate)","Results rate per link clicks","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,"Total messaging contacts","New messaging contacts",Purchases,Ends,"Attribution setting","Cost per purchase (BRL)","Results (initial)","Results (initial) indicator"
2026-08-01,2026-08-31,"LEILÃO | CONVERSÃO | FUNDO | CADASTRE-SE INSTITUCIONAL | 07.06.24 +",not_delivering,,,1.129732,,,25,Daily,310.08,35319,18677,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"03.10 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | CONV | Venda Direta |  | 17/01/25 % - SEM DATA",inactive,,,0,,,1000,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"02.06 - [CONTÍNUO] | [FB+IG] | [AUTO] | CONSID | TRAF | NÃO HABIL | 24/03/25 - SEM DATA",inactive,,,0,,,100,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"CONVERSÃO | Venda Direta INSTAGRAM | FUNDO | 03.04.25 %",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | CONVERSÃO | FUNDO | WHATSAPP FACEBOOK | VENDER | 13.08.25 %",inactive,,,0,,,130,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | CONVERSÃO | FUNDO | WHATSAPP INSTAGRAM | VENDER |  13.08.25 %",inactive,,,0,,,90,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | CONVERSÃO | FUNDO | COMPRE AGORA | COMPRAR | 08.09.25 %",inactive,,,0,,,66.87,Daily,0,0,0,,,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,
2026-08-01,2026-08-31,"CONVERSÃO | LEILÃO SEMANAL | LEILÃO NORDESTE coliseu | FUNDO | 04.11.25 +",inactive,,,0,,,50,Daily,0,0,0,,,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,
2026-08-01,2026-08-31,[Binder][Whats][Vender],inactive,430,actions:onsite_conversion.messaging_conversation_started_7d,1.734354,26.26756261,17.05023256,23495.63,Lifetime,7331.6,184635,78646,478,350,,2026-08-31,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"[Binder][Mensagens] Leilão",archived,,,0,,,350,Lifetime,0,0,0,,,,2026-07-10,-,,,
