Relatório de campanha
15 de junho de 2026 - 15 de setembro de 2026 em comparação com 14 de março de 2026 - 14 de junho de 2026
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,Pontuação de otimização,Subtipo da campanha,Tipo de campanha,Tipo de estratégia de lances,Valor conv.,Valor conv. (comparativo),Valor conv. (variação),Valor conv. (variação %),Visualizações do TrueView,Visualizações do TrueView (comparativo),Visualizações do TrueView (variação),Visualizações do TrueView (variação %),Impr.,Impr. (comparativo),Impr. (variação),Impr. (variação %),CPM médio,CPM médio (comparativo),CPM médio (variação),CPM médio (variação %),Custo,Custo (comparativo),Custo (variação),Custo (variação %),Conversões,Conversões (comparativo),Conversões (variação),Conversões (variação %),Taxa de conv.,Taxa de conv. (comparativo),Taxa de conv. (variação),Taxa de conv. (variação %),Custo / conv.,Custo / conv. (comparativo),Custo / conv. (variação),Custo / conv. (variação %),Cliques,Cliques (comparativo),Cliques (variação),Cliques (variação %),CTR,CTR (comparativo),CTR (variação),CTR (variação %),Conv. (comparável entre plataformas),Conv. (comparável entre plataformas) (comparativo),Conv. (comparável entre plataformas) (variação),Conv. (comparável entre plataformas) (variação %),Valor da conv. / custo (comparável entre plataformas),Valor da conv. / custo (comparável entre plataformas) (comparativo),Valor da conv. / custo (comparável entre plataformas) (variação),Valor da conv. / custo (comparável entre plataformas) (variação %),Usuários exclusivos,Usuários exclusivos (comparativo),Usuários exclusivos (variação),Usuários exclusivos (variação %),CPV médio do TrueView,CPV médio do TrueView (comparativo),CPV médio do TrueView (variação),CPV médio do TrueView (variação %),"Marcações com ""Gostei""","Marcações com ""Gostei"" (comparativo)","Marcações com ""Gostei"" (variação)","Marcações com ""Gostei"" (variação %)",Comentários,Comentários (comparativo),Comentários (variação),Comentários (variação %),Shares,Shares (comparativo),Shares (variação),Shares (variação %)
Ativada,VENDA DIRETA | GERAÇÃO DE DEMANDA | LEADS | REMARKETING | COMPRA E VENDA | 09.02.26 %,"60,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"92,78",Padrão,Geração de demanda,Maximizar as conversões,"168,04","44,93","123,12","+274,05%",0,23.313,-23.313,"-100,00%",496.986,250.065,246.921,"+98,74%","9,36","5,20","4,16","+80,13%","4652,38","1299,55","3352,84","+258,00%","168,04","44,93","123,12","+274,04%","0,91%","0,16%","0,75%","+484,28%","27,69","28,93","-1,24","-4,29%",18.457,3.543,14.914,"+420,94%","3,71%","1,42%","2,30%","+162,12%","228,55","108,00","120,55","+111,62%","0,05","0,08","-0,03","-40,89%",,,0,"0,00%",0,"0,02","-0,02","-100,00%",0,18,-18,"-100,00%",0,0,0,"0,00%",0,2,-2,"-100,00%"
Pausada,INSTITUCIONAL | DMG | LEADS | MEIO | INSTITUCIONAL | 23.02.26 @,"30,00", --,Diário,BRL,Pausado,campanha pausada, --,Padrão,Geração de demanda,Maximizar as conversões,"0,00","83,01","-83,01","-100,00%",0,131.375,-131.375,"-100,00%",0,350.188,-350.188,"-100,00%",0,"7,88","-7,88","-100,00%","0,00","2757,73","-2757,73","-100,00%","0,00","83,01","-83,01","-100,00%","0,00%","0,06%","-0,06%","-100,00%","0,00","33,22","-33,22","-100,00%",0,2.358,-2.358,"-100,00%", --,"0,67%","-0,67%","-100,00%","0,00","207,00","-207,00","-100,00%",0,"0,08","-0,08","-100,00%",,,0,"0,00%",0,"0,02","-0,02","-100,00%",0,22,-22,"-100,00%",0,0,0,"0,00%",0,3,-3,"-100,00%"
Pausada,⭐03.02 - [CONTÍNUO] | [D] | CONV | LEADS | LEILÃO | 28/05/24 - SEM DATA,"431,12", --,Diário,BRL,Pausado,campanha pausada, --,Padrão,Display,Maximizar as conversões,"0,00","0,00","0,00","0,00%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,"0,00","0,00%","0,00","0,00","0,00","0,00%","0,00","0,00","0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00","0,00","0,00","0,00%",0,0,0,"0,00%", --, --,"0,00%","0,00%","0,00","0,00","0,00","0,00%",0,0,"0,00","0,00%",,,0,"0,00%",0,0,"0,00","0,00%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,0,"0,00%"
Pausada,[AGX] [Tráfego] [Performace Max] [Nordeste] [AGX#3],"10,00", --,Diário,BRL,Pausado,campanha pausada, --,Padrão,Performance Max,CPA desejado,"0,00","0,00","0,00","0,00%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,"0,00","0,00%","0,00","0,00","0,00","0,00%","0,00","0,00","0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00","0,00","0,00","0,00%",0,0,0,"0,00%", --, --,"0,00%","0,00%","0,00","0,00","0,00","0,00%",0,0,"0,00","0,00%",,,0,"0,00%",0,0,"0,00","0,00%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,0,"0,00%"
Pausada,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 16/01/25 - SEM DATA,"15,00", --,Diário,BRL,Pausado,campanha pausada, --,Padrão,Pesquisa,Maximizar as conversões,"0,00","0,00","0,00","0,00%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,"0,00","0,00%","0,00","0,00","0,00","0,00%","0,00","0,00","0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00","0,00","0,00","0,00%",0,0,0,"0,00%", --, --,"0,00%","0,00%","0,00","0,00","0,00","0,00%",0,0,"0,00","0,00%",,,0,"0,00%",0,0,"0,00","0,00%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,0,"0,00%"
Ativada,BINDER | LEILÃO | PERFORMANCE MAX | LEADS | FUNDO | LEILÕES | 14.08.26,"30,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"86,17",Padrão,Performance Max,Maximizar as conversões,"120,32","0,00","120,32", +∞,54.115,0,54.115, +∞,211.828,0,211.828, +∞,"13,90",0,"13,90", +∞,"2943,94","0,00","2943,94", +∞,"120,32","0,00","120,32", +∞,"0,16%","0,00%","0,16%", +∞,"24,47","0,00","24,47", +∞,18.375,0,18.375, +∞,"8,67%", --,"8,67%", +∞,"0,00","0,00","0,00","0,00%","0,00",0,"0,00","0,00%",,,0,"0,00%","0,01",0,"0,01", +∞,0,0,0,"0,00%",0,0,0,"0,00%",0,0,0,"0,00%"
Pausada,02.08 -  [CONTÍNUO] | [DG] | CONV | LEADS | KW: VMC  | 23/01/25 - SEM DATA,"5,00", --,Diário,BRL,Pausado,campanha pausada, --,Padrão,Geração de demanda,Maximizar as conversões,"0,00","0,00","0,00","0,00%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,"0,00","0,00%","0,00","0,00","0,00","0,00%","0,00","0,00","0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00","0,00","0,00","0,00%",0,0,0,"0,00%", --, --,"0,00%","0,00%","0,00","0,00","0,00","0,00%",0,0,"0,00","0,00%",,,0,"0,00%",0,0,"0,00","0,00%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,0,"0,00%"
Pausada,[AGX] [Brand] [Copart Others],"5,00", --,Diário,BRL,Pausado,campanha pausada, --,Padrão,Pesquisa,CPA desejado,"0,00","0,00","0,00","0,00%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,"0,00","0,00%","0,00","0,00","0,00","0,00%","0,00","0,00","0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00","0,00","0,00","0,00%",0,0,0,"0,00%", --, --,"0,00%","0,00%","0,00","0,00","0,00","0,00%",0,0,"0,00","0,00%",,,0,"0,00%",0,0,"0,00","0,00%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,0,"0,00%"
Pausada,VENDA DIRETA | PERFORMANCE MAX | LEADS | FUNDO | VENDA | 09.02.26 %,"23,00", --,Diário,BRL,Pausado,campanha pausada, --,Padrão,Performance Max,CPA desejado,"73,27","34,79","38,48","+110,61%",25.927,4.803,21.124,"+439,81%",166.158,85.793,80.365,"+93,67%","16,52","36,63","-20,11","-54,91%","2744,37","3142,65","-398,28","-12,67%","73,27","34,79","38,47","+110,58%","0,16%","0,16%","0,00%","+0,34%","37,46","90,32","-52,86","-58,53%",16.803,15.994,809,"+5,06%","10,11%","18,64%","-8,53%","-45,75%","0,00","0,00","0,00","0,00%","0,00","0,00","0,00","0,00%",,,0,"0,00%","0,02","0,02","-0,00","-0,63%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,0,"0,00%"
Pausada,LEILÃO | PERFORMANCE MAX | LEADS | FUNDO | LEILÕES | 25.09.24 +,"114,00", --,Diário,BRL,Pausado,campanha pausada, --,Padrão,Performance Max,Maximizar as conversões,"652,31","1.849,77","-1.197,46","-64,74%",73.893,8.139,65.754,"+807,89%",522.258,693.206,-170.948,"-24,66%","20,62","24,59","-3,97","-16,13%","10768,74","17042,74","-6274,01","-36,81%","652,32","1.849,76","-1.197,44","-64,73%","0,49%","1,00%","-0,51%","-50,66%","16,51","9,21","7,29","+79,18%",50.189,175.025,-124.836,"-71,32%","9,61%","25,25%","-15,64%","-61,94%","0,00","0,00","0,00","0,00%","0,00","0,00","0,00","0,00%",,,0,"0,00%","0,01","0,02","-0,00","-17,83%",0,0,0,"0,00%",0,0,0,"0,00%",0,0,0,"0,00%"
