Relatório de anúncios
1 de agosto de 2026 - 31 de agosto de 2026
Status do anúncio,URL final,URLs de beacon,Título,Título longo,Título longo 1,Título longo 2,Título longo 3,Título longo 4,Título longo 5,Título 1,Posição do título 1,Título 2,Posição do título 2,Título 3,Posição do título 3,Título 4,Posição do título 4,Título 5,Posição do título 5,Título 6,Posição do título 6,Título 7,Posição do título 7,Título 8,Posição do título 8,Título 9,Posição do título 9,Título 10,Posição do título 10,Título 11,Posição do título 11,Título 12,Posição do título 12,Título 13,Posição do título 13,Título 14,Posição do título 14,Título 15,Posição do título 15,Descrição 1,Posição da descrição 1,Descrição 2,Posição da descrição 2,Descrição 3,Posição da descrição 3,Descrição 4,Posição da descrição 4,Descrição 5,ID da imagem,Código da imagem quadrada,Código da imagem em formato de retrato,Código do logotipo,Código do logotipo no formato paisagem,Nome da empresa,ID da imagem da Rede de Display,Vídeo,Texto de call-to-action,Texto de call-to-action 1,Texto de call-to-action 2,Texto de call-to-action 3,Texto de call-to-action 4,Texto de call-to-action 5,Título da call-to-action,ID do vídeo,Banner complementar,Cor de destaque,Cor principal,Permitir cores flexíveis,Preferência de formato de anúncio,Texto da promoção,Prefixo do preço,Ativar melhorias de recursos,Ativar vídeos gerados automaticamente,Nome do anúncio,ad.device_preference,ad.display_url,Caminho 1,Caminho 2,URL final para dispositivos móveis,Modelo de rastreamento,Sufixo do URL final,Parâmetro personalizado,Campanha,Grupo de anúncios,Status,Motivos do status,Tipo de anúncio,Qualidade do anúncio,Melhorias na qualidade do anúncio,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Conv. (comparável entre plataformas),Custo / conv. (comparável entre plataformas),Valor da conv. / custo (comparável entre plataformas),Taxa de conv.,Conversões,Custo / conv.
Ativado,https://lp.copart.com.br/contato_copart?utm_source=google&utm_medium=cpc&utm_campaign=03-01-MR1-VMC&utm_term=lp-institucional-vmc, --, --, --, --, --, --, --, --,Venda Carros Online Fácil, --,Coloque Seu Carro A Venda, --,Venda Rápida de Carros, --,Venda Seu Carro Hoje, --,Venda Seu Veículo Usado, --,Venda Seu Carro Usado Fácil, --,Site Para Vender Carro Usado, --,Praticidade Na Venda De Carros, --,Tenha Seu Carro Vendido Rápido, --,Anuncie Seu Carro e Venda-o, --,Anuncie e Venda Carros Conosco, --,Venda Seu Carro Em {LOCATION(City):Todo Brasil}, --,Venda De Carros na Internet, --,Venda Seu Carro Com Segurança, --,Anuncie Seu Veículo Aqui, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,Anuncie e venda seu carro online hoje mesmo! Atendemos Em {LOCATION(City):Todo O Brasil}. Confira já!, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Encontre O Comprador Ideal Para Seu Carro. Anuncie Seu Veículo Novo Ou Usado., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 23/05/24 - SEM DATA,01 - Frase,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Boa,Adicione mais alguns títulos exclusivos ou libere alguns recursos,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://lp.copart.com.br/contato_copart?utm_source=google&utm_medium=cpc&utm_campaign=03-01-MR1-VMC&utm_term=lp-institucional-vmc, --, --, --, --, --, --, --, --,Venda Carros Online Fácil, --,Coloque Seu Carro A Venda, --,Venda Rápida de Carros, --,Venda Seu Carro Hoje, --,Venda Seu Veículo Usado, --,Venda Seu Carro Usado Fácil, --,Site Para Vender Carro Usado, --,Venda Carros Sem Complicação, --,Tenha Seu Carro Vendido Rápido, --,Anuncie Seu Carro e Venda-o, --,Anuncie e Venda Carros Conosco, --,Venda Seu Carro Em {LOCATION(City):Todo Brasil}, --,Venda De Carros na Internet, --,Venda Seu Carro Com Segurança, --,Anuncie Seu Carro Agora, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,Anuncie e venda seu carro online hoje mesmo! Atendemos Em {LOCATION(City):Todo O Brasil}. Confira já!, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Encontre O Comprador Ideal Para Seu Carro. Anuncie Seu Veículo Novo Ou Usado., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 23/05/24 - SEM DATA,01 - Frase,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Boa,Adicione mais alguns títulos exclusivos ou libere alguns recursos,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://lp.copart.com.br/contato_copart?utm_source=google&utm_medium=cpc&utm_campaign=03-01-MR1-VMC&utm_term=lp-institucional-vmc, --, --, --, --, --, --, --, --,Venda Carros Online Fácil, --,Coloque Seu Carro A Venda, --,Venda Rápida de Carros, --,Venda Seu Carro Hoje, --,Venda Seu Veículo Usado, --,Venda Seu Carro Usado Fácil, --,Site Para Vender Carro Usado, --,Venda Carros Sem Complicação, --,Tenha Seu Carro Vendido Rápido, --,Anuncie Seu Carro Aqui, --,Anuncie e Venda Carros, --,Venda Seu Carro Em {LOCATION(City):Todo Brasil}, --,Venda De Carros na Internet, --,Venda Seu Carro Com Segurança, --,Anuncie Seu Carro Agora, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,Anuncie e venda seu carro online hoje mesmo! Atendemos Em {LOCATION(City):Todo O Brasil}. Confira já!, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Encontre O Comprador Ideal Para Seu Carro. Anuncie Seu Veículo Novo Ou Usado., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 23/05/24 - SEM DATA,01 - Ampla,Não qualificado,grupo de anúncios pausado; campanha pausada,Anúncio responsivo de pesquisa,Boa,Adicione mais alguns títulos exclusivos ou libere alguns recursos,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/saleListResult/auctionId/9862?location=Osasco%20-%20SP&saleDate=1771678800000&liveAuction=false&from=&yardNum=1&auctioneer=Luciana%20de%20C%C3%A1ssia%20dos%20Santos%20do%20Carmo%20-%20Jucesp%201136&utm_source=google&utm_medium=cpc&utm_campaign=pesquisa_leilao_pesados, --, --, --, --, --, --, --, --,Máquinas Pesadas em Leilão, --,Copart Leilões, --,Cadastre-se e dê seu Lance, --,Tratores e Retroescavadeiras, --,Máquinas Pesadas a Venda, --,Veículos para Obras, --,Acompanhe Nossos Leilões, --,Veículos Usados Funcionando, --,Niveladoras para Obras, --,Maquinário para Terraplanagem, --,Aproveite a Oportunidade, --,Participe e Arremate, --,Leilão de Pesados 21/02, --,Leilão Online 21/02 as 10h, --,Evento Online 21/02 as 10h, --,Sua porta de entrada para máquinas pesadas e máquinas para obras de qualidade, --,"Encontre motoniveladoras, tratores e rolos compressores em nossos leilões.", --,"Motoniveladoras, tratores potentes e rolos compressores para qualquer tipo de terreno.", --,Leilão exclusivo de caminhões e máquinas dia 21/02 às 10h., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | FUNDO | LEILÃO PESADOS | 04.06.2025 +,Grupo de anúncios 1,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Na média,Inclua mais palavras-chave nos seus títulos;Inclua mais palavras-chave nas suas descrições;Adicione mais 1 sitelink ao seu anúncio,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Pausado,"https://www.copart.com.br/vehicleFinderSearch/?searchStr=%7B%22MISC%22:%5B%22categoria:Caminh%C3%B5es%20e%20Rebocadores%22,%22%23LotYear:%5B2015%20TO%202026%5D%22%5D,%22sortByZip%22:false,%22buyerEnteredZip%22:null,%22milesAway%22:null%7D%20&displayStr=Caminh%C3%B5es%20e%20Rebocadores,%5B2015%20TO%202026%5D&from=%2FvehicleFinder&utm_source=google&utm_medium=cpc&utm_campaign=pesquisa_leilao_pesados&utm_content=grupo1&utm_term=grupo1", --, --, --, --, --, --, --, --,Máquinas Pesadas em Leilão, --,Copart Leilões, --,Cadastre-se e dê seu Lance, --,Tratores e Retroescavadeiras, --,Máquinas Pesadas a Venda, --,Veículos para Obras, --,Acompanhe Nossos Leilões, --,Veículos Usados Funcionando, --,Niveladoras para Obras, --,Maquinário para Terraplanagem, --,Aproveite a Oportunidade, --,Participe e Arremate, --,Leilão de Pesados 21/02, --,Leilão Online 21/02 as 10h, --, --, --,Sua porta de entrada para máquinas pesadas e máquinas para obras de qualidade, --,"Encontre motoniveladoras, tratores e rolos compressores em nossos leilões.", --,"Motoniveladoras, tratores potentes e rolos compressores para qualquer tipo de terreno.", --,Explore nossa seleção de máquinas pesadas e máquinas para obras, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | FUNDO | LEILÃO PESADOS | 04.06.2025 +,Grupo de anúncios 1,Pausado,pausado; campanha pausada,Anúncio responsivo de pesquisa,Na média,Inclua mais palavras-chave nos seus títulos;Inclua mais palavras-chave nas suas descrições;Adicione mais 1 sitelink ao seu anúncio,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://lp.copart.com.br/contato_copart?utm_source=google&utm_medium=cpc&utm_campaign=03-01-MR1-VMC&utm_term=lp-institucional-vmc, --, --, --, --, --, --, --, --,Venda Carros Online Fácil, --,Coloque Seu Carro A Venda, --,Venda Segura de Carros, --,Venda Seu Carro Hoje Mesmo, --,Venda Seu Veículo Usado, --,Venda Seu Carro Usado Fácil, --,Site De Venda Carro Usado, --,Carros Novos e Usados, --,Tenha Seu Carro Vendido Rápido, --,Anuncie Seu Carro e Venda-o, --,Anuncie e Venda Carros Conosco, --,Venda Seu Carro Em {LOCATION(City):Todo Brasil}, --,Venda De Carro Rápido e Seguro, --,Venda Seu Carro Com Segurança, --,Anuncie Seu Carro Na Copart, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,Anuncie e venda seu carro online hoje mesmo! Atendemos Em {LOCATION(City):Todo O Brasil}. Confira já!, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Encontre O Comprador Ideal Para Seu Carro. Anuncie Seu Veículo Novo Ou Usado., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,03.01 - [CONTÍNUO] | [P] | CONV | LEADS | KW: VMC | 23/05/24 - SEM DATA,01 - Frase,Não qualificado,campanha pausada,Anúncio responsivo de pesquisa,Boa,Adicione mais alguns títulos exclusivos ou libere alguns recursos,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,"https://www.copart.com.br/search/leil%C3%A3o/?displayStr=Leil%C3%A3o&from=%2FvehicleFinder&searchCriteria=%7B%22query%22:%5B%22*%22%5D,%22filter%22:%7B%22MISC%22:%5B%22tipovenda:Leil%C3%A3o%22%5D,%22patioveiculo%22:%5B%22patioveiculo:%5C%22Goi%C3%A2nia%20-%20GO%5C%22%22%5D%7D,%22sort%22:%5B%22auction_date_utc%20asc%22,%22brazil_default_sort%20asc%22%5D,%22watchListOnly%22:false,%22searchName%22:%22%22,%22freeFormSearch%22:false%7D", --, --, --, --, --, --, --, --,Copart Brasil - Site Oficial,1,Leilões de Veículos Copart, --,"Leilões, Compra e Venda Online", --,Negocie Veículos Online, --,Encontre Veículos Online, --,Compre Veículos em Leilão, --,Leilões de Carros Online, --,Seu Próximo Veículo, --,Leilões Toda Semana, --,Confira Nossos Leilões, --, --, --, --, --, --, --, --, --, --, --,Participe dos leilões Copart e encontre veículos com preços competitivos. Cadastre-se, --,Veículos disponíveis semanalmente em leilões 100% online e seguros. Dê Seu Lance, --,Dê seu lance e aproveite oportunidades em diversos modelos de veículos., --,Soluções online completas para compra e venda de veículos. Acesse agora., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,BINDER | LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO GOIÂNIA | 19-08-2026,LEILÃO GOIÂNIA,Qualificado,,Anúncio responsivo de pesquisa,Ruim,Inclua mais palavras-chave nos seus títulos;Inclua mais palavras-chave nas suas descrições;Adicione mais alguns títulos exclusivos ou libere alguns recursos;Adicione mais 1 sitelink ao seu anúncio,BRL,"14,76",18.378,4.852,"26,40%","0,06","271,23","0,00",0,"0,00","0,50%","24,18","11,22"
Ativado,https://www.copart.com.br/doRegistration/?utm_source=google&utm_medium=cpc&utm_campaign=dm-salao, --, --,"Estaremos presente no maior evento automotivo, visite nosso stand e conheça os serviços", --, --, --, --, --,Visite Nosso Stand - C29, --,Conheça Nossos Serviços, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Conectando compradores e vendedores ao redor do mundo., --,"De automóveis a caminhões, motocicletas e muito mais. Confira em Nosso Stand", --, --, --, --, --, --,312111749141; 312111749156; 312111749177,312216069447; 312111749153; 312111749219, --, --, --,COPART, --, --, --, --, --, --, --, --, --, --, --, --, --,true,Todos os formatos, --, --,true,true, --, --, --, --, --,, --, --,,GERAÇÃO DE DEMANDA | SALÃO DO AUTOMOVEL | 18/11/25 - 30/11/25,Ad group 1,Não qualificado,campanha pausada,Anúncio responsivo de display,Na média,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/doRegistration/?utm_source=google&utm_medium=cpc&utm_campaign=pesquisa_leilao_termos&utm_content=grupo2&utm_term=grupo2, --, --, --, --, --, --, --, --,Leilão de Carros Online, --,Compre Carros Pela Internet, --,Plataforma Digital de Leilões, --,Veículos em Leilão Online, --,Participe Sem Sair de Casa, --,Processo Seguro e Digital, --,Site de Leilão de Carros, --,Veja As Oportunidades Aqui, --,Leilão de Motos e Carros, --,Ofertas Imperdíveis de Carros, --,Seu Novo Carro Te Espera Aqui, --,Compre Carro em Leilão Online, --,Leilão De Carro Em {LOCATION(City):Todo Brasil}, --,Participe de Leilões Online, --,Carros em Leilão Hoje, --,Compre Carros Em Leilão Online. Veja Os Preços Imperdíveis E Variedade De Opções!, --,Leilão De Carros Online Com As Melhores Ofertas {LOCATION(City):Todo O Brasil}. Confira Hoje Mesmo!, --,Leilão De Carros Online. Economize E Garanta Seu Novo Carro Com Segurança!, --,Compre carros em leilão online de forma prática e segura., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: TERMOS GERAIS | 25/09/24 +,Grupo 2 — Leilão online,Não qualificado,grupo de anúncios pausado; campanha pausada,Anúncio responsivo de pesquisa,Excelente,,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
Ativado,https://www.copart.com.br/sellForIndividuals/?utm_source=google&utm_medium=cpc&utm_campaign=termos-fundo-vmc, --, --, --, --, --, --, --, --,Venda Carros Online Fácil, --,Coloque Seu Carro A Venda, --,Venda Segura de Carros, --,Venda Seu Carro Hoje Mesmo, --,Venda Seu Veículo Usado, --,Venda Seu Carro Usado Fácil, --,Site De Venda Carro Usado, --,Carros Novos e Usados, --,Tenha Seu Carro Vendido Rápido, --,Anuncie Seu Carro e Venda-o, --,Anuncie e Venda Carros Conosco, --,Venda Seu Carro Em {LOCATION(City):Todo Brasil}, --,Venda De Carro Rápido e Seguro, --,Venda Seu Carro Com Segurança, --,Anuncie Seu Carro Na Copart, --,Vender Seu Carro Ficou Mais fácil Do Que Nunca. Venda Seu Veículo Com Segurança Agora!, --,Anuncie e venda seu carro online hoje mesmo! Atendemos Em {LOCATION(City):Todo O Brasil}. Confira já!, --,Vender Seu Carro Online Com A Copart É Seguro E Fácil. Entre Agora Em Contato!, --,Encontre O Comprador Ideal Para Seu Carro. Anuncie Seu Veículo Novo Ou Usado., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,LEILÃO | PESQUISA | LEADS | KW: TERMOS GERAIS | 25/09/24 +,Serviços | VMC,Não qualificado,grupo de anúncios pausado; campanha pausada,Anúncio responsivo de pesquisa,Na média,Inclua mais palavras-chave nos seus títulos;Inclua mais palavras-chave nas suas descrições,BRL,0,0,0, --,0,"0,00","0,00",0,0,"0,00%","0,00","0,00"
