# ----------------------------------------
# Copart Member Brazil - GA4
# Eventos Principas - Mídia Paga-Formato livre 1
# 20260615-20260915 20260314-20260614
# ----------------------------------------

Grupo principal de canais da sessão (Agrupamento de canais padrão),Nome do evento,Comparação de datas,Total de usuários
,,% de variação,"54,68%",Total geral
,,15 de jun. a 15 de set. de 2026,115620
,,14 de mar. a 14 de jun. de 2026,74749
Paid Search,sign_in,% de variação,"73,98%"
,,15 de jun. a 15 de set. de 2026,77211
,,14 de mar. a 14 de jun. de 2026,44379
Cross-network,sign_in,% de variação,"-14,76%"
,,15 de jun. a 15 de set. de 2026,19584
,,14 de mar. a 14 de jun. de 2026,22975
Paid Search,click_bid_now,% de variação,"70,58%"
,,15 de jun. a 15 de set. de 2026,16848
,,14 de mar. a 14 de jun. de 2026,9877
Paid Other,sign_in,% de variação,-
,,15 de jun. a 15 de set. de 2026,10084
,,14 de mar. a 14 de jun. de 2026,0
Cross-network,click_bid_now,% de variação,"-31,3%"
,,15 de jun. a 15 de set. de 2026,3356
,,14 de mar. a 14 de jun. de 2026,4885
Paid Social,sign_in,% de variação,"-44,98%"
,,15 de jun. a 15 de set. de 2026,1919
,,14 de mar. a 14 de jun. de 2026,3488
Paid Search,cadastro_site,% de variação,"20,84%"
,,15 de jun. a 15 de set. de 2026,2209
,,14 de mar. a 14 de jun. de 2026,1828
Paid Search,register_to_bid,% de variação,"61,24%"
,,15 de jun. a 15 de set. de 2026,1298
,,14 de mar. a 14 de jun. de 2026,805
Paid Other,click_bid_now,% de variação,-
,,15 de jun. a 15 de set. de 2026,2071
,,14 de mar. a 14 de jun. de 2026,0
Cross-network,cadastro_site,% de variação,"-52,46%"
,,15 de jun. a 15 de set. de 2026,542
,,14 de mar. a 14 de jun. de 2026,1140
Paid Search,lead_vmc,% de variação,"13,72%"
,,15 de jun. a 15 de set. de 2026,655
,,14 de mar. a 14 de jun. de 2026,576
Cross-network,register_to_bid,% de variação,"-38,18%"
,,15 de jun. a 15 de set. de 2026,285
,,14 de mar. a 14 de jun. de 2026,461
Cross-network,lead_vmc,% de variação,"-26,25%"
,,15 de jun. a 15 de set. de 2026,236
,,14 de mar. a 14 de jun. de 2026,320
Paid Other,register_to_bid,% de variação,-
,,15 de jun. a 15 de set. de 2026,206
,,14 de mar. a 14 de jun. de 2026,0
Paid Social,cadastro_site,% de variação,"138,46%"
,,15 de jun. a 15 de set. de 2026,31
,,14 de mar. a 14 de jun. de 2026,13
Paid Social,lead_vmc,% de variação,"-95,24%"
,,15 de jun. a 15 de set. de 2026,2
,,14 de mar. a 14 de jun. de 2026,42
Paid Social,click_bid_now,% de variação,"-66,67%"
,,15 de jun. a 15 de set. de 2026,3
,,14 de mar. a 14 de jun. de 2026,9
Paid Other,cadastro_site,% de variação,-
,,15 de jun. a 15 de set. de 2026,9
,,14 de mar. a 14 de jun. de 2026,0
Paid Other,lead_vmc,% de variação,-
,,15 de jun. a 15 de set. de 2026,4
,,14 de mar. a 14 de jun. de 2026,0
Cross-network,form_submit,% de variação,0%
,,15 de jun. a 15 de set. de 2026,1
,,14 de mar. a 14 de jun. de 2026,1
Paid Search,form_submit,% de variação,0%
,,15 de jun. a 15 de set. de 2026,1
,,14 de mar. a 14 de jun. de 2026,1
Paid Social,register_to_bid,% de variação,-100%
,,15 de jun. a 15 de set. de 2026,0
,,14 de mar. a 14 de jun. de 2026,1

