Performance do grupo de anúncios
1 de agosto de 2026 - 31 de agosto de 2026
Grupo de anúncios,Campanha,Estado da campanha,Status do grupo de anúncios,Tipo de campanha,Subtipo da campanha,"Marcadores em ""Grupo de anúncios""",Estratégia de lances do grupo de anúncios,Tipo de estratégia de lances do grupo de anúncios,Sitelinks do grupo de anúncios: ativos,Sitelinks do grupo de anúncios: reprovados,Nível dos sitelinks do grupo de anúncios,Números de telefone do grupo de anúncios: ativos,Números de telefone do grupo de anúncios: reprovados,Nível dos números de telefone do grupo de anúncios,Aplicativos do grupo de anúncios: ativos,Aplicativos do grupo de anúncios: reprovados,Nível dos aplicativos do grupo de anúncios,Aj. lance do grupo de anúncios para computadores,Aj. lance do grupo de anúncios para smartphones,Aj. lance do grupo de anúncios para tablets,Anúncios: ativos,Anúncios: reprovados,Palavras-chave: ativas,Palavras-chave: reprovadas,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
INSTITUCIONAL,LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO INSTITUCIONAL | 25.09.24 +,Ativada,Ativado,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, +10%,-10%,-100%,3,0,9,0,206.448,358.845,"57,53%",BRL,"0,03","6814,75","81,62%","91,23%","861,36",0,"7,91","0,42%"
VENDA,VENDA DIRETA | GERAÇÃO DE DEMANDA | RECONHECIMENTO | TOPO | COMPRA E VENDA | 09.02.26 %,Ativada,Ativado,Geração de demanda,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --, --,1,0,1,0,15.307,445.516,"3,44%",BRL,"0,20","3084,02",0,0,"164,70",0,"18,72","1,08%"
LEILÃO,LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO INSTITUCIONAL | 25.09.24 +,Ativada,Ativado,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --,-100%,1,0,9,0,13.963,124.962,"11,17%",BRL,"0,24","3298,62","11,29%","69,96%","132,74",0,"24,85","0,95%"
VENDA,VENDA DIRETA | GERAÇÃO DE DEMANDA | LEADS | REMARKETING | COMPRA E VENDA | 09.02.26 %,Ativada,Ativado,Geração de demanda,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --, --,1,0,1,0,6.553,178.635,"3,67%",BRL,"0,25","1644,56",0,0,"63,29",0,"25,98","0,97%"
LEILÃO GOIÂNIA,BINDER | LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO GOIÂNIA | 19-08-2026,Ativada,Ativado,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --,-100%,1,0,22,0,4.852,18.378,"26,40%",BRL,"0,06","271,23","35,86%","74,92%","24,18",0,"11,22","0,50%"
[FRASE],VENDA DIRETA | PESQUISA | LEADS | FUNDO | VENDA | 09.02.26 %,Ativada,Ativado,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --, --,1,0,18,0,2.326,22.005,"10,57%",BRL,"0,41","946,78","13,46%","66,39%","27,18",0,"34,84","1,17%"
COMPRA,VENDA DIRETA | GERAÇÃO DE DEMANDA | RECONHECIMENTO | TOPO | COMPRA E VENDA | 09.02.26 %,Ativada,Ativado,Geração de demanda,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --, --,1,0,1,0,124,2.719,"4,56%",BRL,"0,51","63,25",0,0,"0,03",0,"2057,59","0,02%"
CADASTRO,LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO INSTITUCIONAL | 25.09.24 +,Ativada,Pausado,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --,-100%,0,0,0,0,0,0,0,BRL,0,"0,00",0,0,"0,00",0,0,0
PENSOU EM VENDER,LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO INSTITUCIONAL | 25.09.24 +,Ativada,Pausado,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --,-100%,0,0,0,0,0,0,0,BRL,0,"0,00",0,0,"0,00",0,0,0
VENDA DIRETA,LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO INSTITUCIONAL | 25.09.24 +,Ativada,Pausado,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --,-100%,0,0,0,0,0,0,0,BRL,0,"0,00",0,0,"0,00",0,0,0
Goiânia,LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO INSTITUCIONAL | 25.09.24 +,Ativada,Removido,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,BRL,0,"0,00",0,0,"0,00",0,0,0
COMPRA,VENDA DIRETA | GERAÇÃO DE DEMANDA | LEADS | REMARKETING | COMPRA E VENDA | 09.02.26 %,Ativada,Pausado,Geração de demanda,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,BRL,0,"0,00",0,0,"0,00",0,0,0
CADASTRO,BINDER | LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO GOIÂNIA | 19-08-2026,Ativada,Removido,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,BRL,0,"0,00",0,0,"0,00",0,0,0
VENDA DIRETA,BINDER | LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO GOIÂNIA | 19-08-2026,Ativada,Removido,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,BRL,0,"0,00",0,0,"0,00",0,0,0
INSTITUCIONAL,BINDER | LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO GOIÂNIA | 19-08-2026,Ativada,Removido,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,BRL,0,"0,00",0,0,"0,00",0,0,0
PENSOU EM VENDER,BINDER | LEILÃO | PESQUISA | CONVERSÃO | MEIO | LEILÃO GOIÂNIA | 19-08-2026,Ativada,Removido,Pesquisa,Padrão, --, --,Maximizar as conversões,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,BRL,0,"0,00",0,0,"0,00",0,0,0
