"Account name",Ads,Reach,Frequency,Currency,"Amount spent (BRL)","CTR (link click-through rate)","CPC (cost per link click)","Messaging conversations started","Landing page views","Reporting starts","Reporting ends"
,,667732,2.643306,BRL,22551.42,2.73668287,0.46687411,444,33533,2026-08-01,2026-08-31
"Copart Boleto","AD 01 - DARK  ESTATICO [MAIO]; AD 03 - DARK  ESTATICO [MAIO];...and 10 more ads",74831,2.32128396,BRL,6637.29,0.88196012,4.33243473,382,86,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Venda Direta] Comprar 02 - 29-07-2026; [Binder][Venda Direta] Comprar 01 - 29-07-2026;...and 2 more ads",241055,2.62405675,BRL,5726.41,2.76108148,0.32787919,,12422,2026-08-01,2026-08-31
"Copart Boleto","AD 01 - Leilão 25/07; AD 02 - Leilão 25/07;...and 9 more ads",182358,2.77065991,BRL,5292.88,1.60533753,0.65255579,11,6303,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Venda Direta] Comprar - Impulsionamento13/08; [Binder][Venda Direta] Comprar - Impulsionamento13/08 — Cópia;",26719,1.51936824,BRL,1190.12,9.70785299,0.30198427,,3309,2026-08-01,2026-08-31
"Copart Boleto","AD 08 - VIDEO  VENDER",6445,1.69604344,BRL,694.31,0.96057085,6.61247619,48,5,2026-08-01,2026-08-31
"Copart Boleto","[Binder][venha comprar] Comprar - Impulsionamento 18/08;...and 1 more ad",13642,1.99193667,BRL,592.56,7.31949658,0.29791855,,1737,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] AD5 Bradesco - 29-07-2026 — Cópia; [Binder][Leilão] AD5 Santander - 29-07-2026;...and 8 more ads",21004,1.99214435,BRL,497.69,3.85010635,0.30893234,1,1242,2026-08-01,2026-08-31
"Copart Boleto","Catálogo 19/08;...and 1 more ad",41918,2.68164035,BRL,428.09,5.89632503,0.06458811,,5169,2026-08-01,2026-08-31
"Copart Boleto","Imp - Mitsubishi Eclipse Cross",17937,2.12555054,BRL,297.75,1.28258931,0.60889571,,292,2026-08-01,2026-08-31
"Copart Boleto","AD 23 | DARK | ADS DEZ 01; AD 24 | DARK | ADS DEZ 02;...and 1 more ad",12785,1.66061791,BRL,234.44,0.84310678,1.30972067,,127,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] [Motos 22/08] Vídeo Feed",25688,1.22364528,BRL,222.67,4.20258964,0.1685617,1,999,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Venda Direta] Comprar - Impulsionamento13/08",2426,1.4653751,BRL,145.61,11.58931083,0.35342233,,330,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Venda Direta] Imp. 21/08",4675,1.3197861,BRL,88.48,5.70502431,0.25136364,,285,2026-08-01,2026-08-31
"Copart Boleto","Mitsubishi - teste",32203,1.43607738,BRL,87.24,5.94213554,0.03174672,,146,2026-08-01,2026-08-31
"Copart Boleto","AD 21 - INSTITUCIONAL",8423,1.67256322,BRL,75.64,0.45428734,1.181875,,38,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] Goiânia - AD4;...and 2 more ads",10147,1.14891101,BRL,55.15,2.13587236,0.22148594,,212,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] [Motos 22/08] Carrossel",15273,1.18647286,BRL,47.58,1.60587164,0.16350515,,198,2026-08-01,2026-08-31
"Copart Boleto","impulsionado 01 - Leilão 08/08",2423,1.41725134,BRL,42.34,1.60163075,0.76981818,1,40,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] [Motos 22/08] Estático 04",4982,1.13970293,BRL,39.01,2.87072913,0.23932515,,130,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] [Motos 22/08] Story",3998,1.12406203,BRL,36.2,3.87182911,0.20804598,,138,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] [Motos 22/08] Estático 03",4032,1.23363095,BRL,27.86,4.06111781,0.13792079,,149,2026-08-01,2026-08-31
"Copart Boleto","impulsionado 02 - Leilão 08/08",1145,1.41572052,BRL,21.12,1.60394818,0.81230769,,22,2026-08-01,2026-08-31
"Copart Boleto","Ads 02 - Leilão 08/08",1026,1.42007797,BRL,17.57,1.09814688,1.098125,,8,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] [Motos 22/08] Estático 02",2676,1.27503737,BRL,13.46,1.78780774,0.22065574,,37,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] [Motos 22/08] Estático 01",1978,1.11779575,BRL,12.84,2.48756219,0.23345455,,52,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] Goiânia - AD3;...and 2 more ads",546,1.45787546,BRL,12.24,2.26130653,0.68,,17,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] Goiânia - AD1;...and 2 more ads",995,1.22211055,BRL,11.73,2.96052632,0.32583333,,29,2026-08-01,2026-08-31
"Copart Boleto","[Binder][Leilão] Goiânia - AD2;...and 2 more ads",619,1.04684976,BRL,3.14,1.54320988,0.314,,8,2026-08-01,2026-08-31
"Copart Boleto","Carrossel Mitshubishi",0,0,BRL,0,,,,3,2026-08-01,2026-08-31
