"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,"Total messaging contacts","New messaging contacts",Purchases,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Cost per purchase (BRL)","Results (initial)","Results (initial) indicator"
2026-08-01,2026-08-31,"[Binder][Leilão] AD1 - 29-07-2026",active,156,conversions:offsite_conversion.fb_pixel_custom.Cadastro_site,20.44076923,"Using campaign budget",0,3188.76,265920,102437,6,4,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD2 - 29-07-2026",inactive,3,conversions:offsite_conversion.fb_pixel_custom.Cadastro_site,10.12333333,"Using campaign budget",0,30.37,3560,2749,,,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD3 - 29-07-2026",inactive,6,conversions:offsite_conversion.fb_pixel_custom.Cadastro_site,24.175,"Using campaign budget",0,145.05,19417,13627,,,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD4 - 29-07-2026",active,3,conversions:offsite_conversion.fb_pixel_custom.Cadastro_site,8.5,"Using campaign budget",0,25.5,7293,5902,,,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD5 Santander - 29-07-2026",active,79,conversions:offsite_conversion.fb_pixel_custom.Cadastro_site,18.44164557,"Using campaign budget",0,1456.89,152902,73501,6,5,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD5 Bradesco - 29-07-2026 — Cópia",active,7,conversions:offsite_conversion.fb_pixel_custom.Cadastro_site,7.04285714,"Using campaign budget",0,49.3,5994,4798,,,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD5 Bradesco - 29-07-2026 — Cópia",active,44,actions:omni_landing_page_view,0.45295455,"Using campaign budget",0,19.93,1518,1066,,,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-19T17:22:40-0300,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD5 Santander - 29-07-2026",active,1096,actions:omni_landing_page_view,0.40367701,"Using campaign budget",0,442.43,33807,14733,1,1,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-19T17:22:40-0300,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD3 - 29-07-2026",active,53,actions:omni_landing_page_view,0.36226415,"Using campaign budget",0,19.2,3573,3465,,,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-19T17:22:40-0300,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD4 - 29-07-2026",active,36,actions:omni_landing_page_view,0.33805556,"Using campaign budget",0,12.17,2121,1875,,,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-19T17:22:40-0300,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD2 - 29-07-2026",active,7,actions:omni_landing_page_view,0.44571429,"Using campaign budget",0,3.12,550,508,,,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-19T17:22:40-0300,-,-,-,"Interesses + ADV+",,,
2026-08-01,2026-08-31,"[Binder][Leilão] AD1 - 29-07-2026",active,1963,actions:omni_landing_page_view,0.20133979,"Using campaign budget",0,395.23,49968,30874,,,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-19T17:22:40-0300,-,-,-,"Interesses + ADV+",,,
